subject_id,task_part,block_condition,block_order,task_block,trial_index,stimulus,cat_type,mean_cat_reward,approach_reward,key_press,rt,points,stimulus_repetition,correct_response,correct_response_made
3768,learning,2,1,animals,73,images/horse7.png,neutral,0,2,1,1148,2,1,1,1
3768,learning,2,1,animals,75,images/cow5.png,bad,-3,-4,0,347,0,1,0,1
3768,learning,2,1,animals,77,images/cow8.png,bad,-3,-2,1,618,-2,1,0,0
3768,learning,2,1,animals,79,images/horse7.png,neutral,0,2,1,306,2,2,1,1
3768,learning,2,1,animals,81,images/goat6.png,good,5,8,0,1521,0,1,1,0
3768,learning,2,1,animals,83,images/cow5.png,bad,-3,-4,0,896,0,2,0,1
3768,learning,2,1,animals,85,images/goat5.png,good,5,-5,1,766,-5,1,0,0
3768,learning,2,1,animals,87,images/goat1.png,good,5,-7,1,1102,-7,1,0,0
3768,learning,2,1,animals,89,images/cow3.png,bad,-3,5,1,453,5,1,1,1
3768,learning,2,1,animals,91,images/cow3.png,bad,-3,5,0,1166,0,2,1,0
3768,learning,2,1,animals,93,images/horse3.png,neutral,0,-8,1,864,-8,1,0,0
3768,learning,2,1,animals,95,images/goat1.png,good,5,-7,0,145,0,2,0,1
3768,learning,2,1,animals,97,images/goat6.png,good,5,8,1,1066,8,2,1,1
3768,learning,2,1,animals,99,images/horse1.png,neutral,0,-3,0,1349,0,1,0,1
3768,learning,2,1,animals,101,images/horse1.png,neutral,0,-3,0,1574,0,2,0,1
3768,learning,2,1,animals,103,images/goat1.png,good,5,-7,0,1648,0,3,0,1
3768,learning,2,1,animals,105,images/horse7.png,neutral,0,2,1,1001,2,3,1,1
3768,learning,2,1,animals,107,images/horse4.png,neutral,0,6,0,1355,0,1,1,0
3768,learning,2,1,animals,109,images/cow8.png,bad,-3,-2,0,1133,0,2,0,1
3768,learning,2,1,animals,111,images/goat6.png,good,5,8,1,943,8,3,1,1
3768,learning,2,1,animals,113,images/cow1.png,bad,-3,-9,0,1121,0,1,0,1
3768,learning,2,1,animals,115,images/goat1.png,good,5,-7,0,1026,0,4,0,1
3768,learning,2,1,animals,117,images/horse1.png,neutral,0,-3,0,939,0,3,0,1
3768,learning,2,1,animals,119,images/cow3.png,bad,-3,5,0,884,0,3,1,0
3768,learning,2,1,animals,121,images/horse3.png,neutral,0,-8,0,981,0,2,0,1
3768,learning,2,1,animals,123,images/goat1.png,good,5,-7,0,831,0,5,0,1
3768,learning,2,1,animals,125,images/goat6.png,good,5,8,1,703,8,4,1,1
3768,learning,2,1,animals,127,images/goat6.png,good,5,8,1,848,8,5,1,1
3768,learning,2,1,animals,129,images/cow5.png,bad,-3,-4,0,923,0,3,0,1
3768,learning,2,1,animals,131,images/horse1.png,neutral,0,-3,0,716,0,4,0,1
3768,learning,2,1,animals,133,images/cow3.png,bad,-3,5,0,798,0,4,1,0
3768,learning,2,1,animals,135,images/goat8.png,good,5,3,0,1185,0,1,1,0
3768,learning,2,1,animals,137,images/goat5.png,good,5,-5,0,1210,0,2,0,1
3768,learning,2,1,animals,139,images/cow5.png,bad,-3,-4,0,603,0,4,0,1
3768,learning,2,1,animals,141,images/cow3.png,bad,-3,5,0,674,0,5,1,0
3768,learning,2,1,animals,143,images/horse7.png,neutral,0,2,1,988,2,4,1,1
3768,learning,2,1,animals,145,images/horse7.png,neutral,0,2,1,718,2,5,1,1
3768,learning,2,1,animals,147,images/horse7.png,neutral,0,2,1,775,2,6,1,1
3768,learning,2,1,animals,149,images/horse3.png,neutral,0,-8,0,745,0,3,0,1
3768,learning,2,1,animals,151,images/cow5.png,bad,-3,-4,0,770,0,5,0,1
3768,learning,2,1,animals,153,images/goat1.png,good,5,-7,0,1553,0,6,0,1
3768,learning,2,1,animals,155,images/cow3.png,bad,-3,5,1,1418,5,6,1,1
3768,learning,2,1,animals,157,images/cow8.png,bad,-3,-2,0,1053,0,3,0,1
