block_condition,block_order,trial_index,class,approach_reward,key_press,rt,points,stimulus_repetition,correct_response,correct_response_made
2,1,73,2,2,1,1148,2,1,1,1
2,1,75,1,-4,0,347,0,1,0,1
2,1,77,1,-2,1,618,-2,1,0,0
2,1,79,2,2,1,306,2,2,1,1
2,1,81,3,8,0,1521,0,1,1,0
2,1,83,1,-4,0,896,0,2,0,1
2,1,85,3,-5,1,766,-5,1,0,0
2,1,87,3,-7,1,1102,-7,1,0,0
2,1,89,1,5,1,453,5,1,1,1
2,1,91,1,5,0,1166,0,2,1,0
2,1,93,2,-8,1,864,-8,1,0,0
2,1,95,3,-7,0,145,0,2,0,1
2,1,97,3,8,1,1066,8,2,1,1
2,1,99,2,-3,0,1349,0,1,0,1
2,1,101,2,-3,0,1574,0,2,0,1
2,1,103,3,-7,0,1648,0,3,0,1
2,1,105,2,2,1,1001,2,3,1,1
2,1,107,2,6,0,1355,0,1,1,0
2,1,109,1,-2,0,1133,0,2,0,1
2,1,111,3,8,1,943,8,3,1,1
2,1,113,1,-9,0,1121,0,1,0,1
2,1,115,3,-7,0,1026,0,4,0,1
2,1,117,2,-3,0,939,0,3,0,1
2,1,119,1,5,0,884,0,3,1,0
2,1,121,2,-8,0,981,0,2,0,1
2,1,123,3,-7,0,831,0,5,0,1
2,1,125,3,8,1,703,8,4,1,1
2,1,127,3,8,1,848,8,5,1,1
2,1,129,1,-4,0,923,0,3,0,1
2,1,131,2,-3,0,716,0,4,0,1
2,1,133,1,5,0,798,0,4,1,0
2,1,135,3,3,0,1185,0,1,1,0
2,1,137,3,-5,0,1210,0,2,0,1
2,1,139,1,-4,0,603,0,4,0,1
2,1,141,1,5,0,674,0,5,1,0
2,1,143,2,2,1,988,2,4,1,1
2,1,145,2,2,1,718,2,5,1,1
2,1,147,2,2,1,775,2,6,1,1
2,1,149,2,-8,0,745,0,3,0,1
2,1,151,1,-4,0,770,0,5,0,1
2,1,153,3,-7,0,1553,0,6,0,1
2,1,155,1,5,1,1418,5,6,1,1
2,1,157,1,-2,0,1053,0,3,0,1
2,1,159,2,-3,0,934,0,5,0,1
2,1,161,3,8,1,751,8,6,1,1
2,1,163,1,7,0,1094,0,1,1,0
2,1,165,3,1,1,1797,1,1,1,1
2,1,167,2,-3,0,588,0,6,0,1
2,1,169,2,4,0,955,0,1,1,0
2,1,171,1,-4,0,629,0,6,0,1
2,1,173,3,-5,0,693,0,3,0,1
1,2,190,1,-4,1,958,-4,1,0,0
1,2,192,1,-3,0,653,0,1,0,1
1,2,194,3,8,0,612,0,1,1,0
1,2,196,1,-3,0,876,0,1,0,1
1,2,200,3,8,1,793,8,2,1,1
1,2,202,1,-5,0,1056,0,2,0,1
1,2,204,1,-2,0,631,0,2,0,1
1,2,206,3,5,1,766,5,1,1,1
1,2,208,3,5,1,741,5,1,1,1
1,2,210,2,-1,1,1068,-1,1,0,0
1,2,212,3,6,1,826,6,2,1,1
1,2,218,2,-1,1,823,-1,2,0,0
1,2,220,2,-1,0,846,0,2,0,1
1,2,222,3,8,1,742,8,1,1,1
1,2,224,1,-5,0,707,0,3,0,1
1,2,226,1,-1,0,1513,0,4,0,1
1,2,228,2,-3,0,1080,0,3,0,1
1,2,230,3,5,1,791,5,2,1,1
1,2,232,3,3,1,718,3,3,1,1
1,2,234,2,2,0,1286,0,1,0,1
1,2,236,2,-1,0,780,0,4,0,1
1,2,238,3,8,1,674,8,3,1,1
1,2,240,3,4,1,530,4,4,1,1
1,2,244,1,-1,0,959,0,1,0,1
1,2,248,2,1,1,951,1,4,0,0
1,2,250,1,-3,0,2448,0,3,0,1
1,2,252,1,-1,0,1113,0,4,0,1
1,2,254,3,4,1,571,4,4,1,1
1,2,256,2,-2,0,770,0,5,0,1
1,2,258,3,5,1,1040,5,5,1,1
1,2,260,1,-2,0,1333,0,2,0,1
1,2,262,2,1,0,685,0,6,0,1
1,2,264,2,1,0,1141,0,5,0,1
1,2,266,2,1,1,1123,1,6,0,0
1,2,268,1,-1,0,649,0,5,0,1
1,2,270,1,-5,0,1106,0,5,0,1
1,2,272,1,-2,0,887,0,1,0,1
1,2,274,1,-3,0,942,0,6,0,1
1,2,276,1,-1,0,622,0,3,0,1
1,2,278,1,-3,0,740,0,6,0,1
1,2,280,3,8,1,756,8,6,1,1
1,2,282,3,7,1,563,7,5,1,1
1,2,284,3,5,1,802,5,6,1,1
1,2,286,3,5,1,841,5,1,1,1
1,2,290,3,5,1,1494,5,3,1,1
2,3,307,3,6,1,1704,6,1,1,1
2,3,309,3,4,0,607,0,1,1,0
2,3,311,1,7,0,1000,0,1,1,0
2,3,313,3,4,1,882,4,2,1,1
2,3,315,1,3,0,1332,0,1,1,0
2,3,317,1,-7,0,1011,0,1,0,1
2,3,319,1,7,1,963,7,2,1,1
2,3,321,3,-9,1,750,-9,1,0,0
2,3,323,1,3,0,863,0,2,1,0
2,3,325,2,5,1,1768,5,1,1,1
2,3,327,2,5,1,641,5,2,1,1
2,3,329,2,2,1,725,2,1,1,1
2,3,331,2,-8,1,1726,-8,1,0,0
2,3,333,3,-9,0,1206,0,2,0,1
2,3,335,2,-8,0,1030,0,2,0,1
2,3,337,1,7,1,935,7,3,1,1
2,3,339,2,5,1,943,5,3,1,1
2,3,341,2,-8,1,794,-8,3,0,0
2,3,343,3,6,9,1196,-5,2,1,0
2,3,345,3,-9,0,2372,0,3,0,1
2,3,347,1,7,1,1111,7,4,1,1
2,3,349,1,7,1,822,7,5,1,1
2,3,351,2,2,0,744,0,2,1,0
2,3,353,3,4,1,730,4,3,1,1
2,3,355,1,3,1,796,3,3,1,1
2,3,357,2,2,1,854,2,3,1,1
2,3,359,2,5,1,768,5,4,1,1
2,3,361,2,5,1,569,5,5,1,1
2,3,363,3,-9,0,1418,0,4,0,1
2,3,365,3,4,1,2011,4,4,1,1
2,3,367,1,3,1,1469,3,4,1,1
2,3,369,1,-7,0,1627,0,2,0,1
2,3,371,3,-9,0,836,0,5,0,1
2,3,373,2,9,1,1422,9,1,1,1
2,3,375,2,5,1,782,5,6,1,1
2,3,377,1,3,1,844,3,5,1,1
2,3,379,1,-2,1,1491,-2,1,0,0
2,3,381,1,7,1,850,7,6,1,1
2,3,383,3,4,1,1049,4,5,1,1
2,3,385,2,-8,0,1056,0,4,0,1
2,3,387,2,-8,0,1256,0,5,0,1
2,3,389,3,-9,0,879,0,6,0,1
2,3,391,3,-3,0,2088,0,1,0,1
2,3,393,3,4,1,800,4,6,1,1
2,3,395,2,-5,1,778,-5,1,0,0
2,3,397,3,-1,0,851,0,1,0,1
2,3,399,3,6,0,2330,0,3,1,0
2,3,401,2,-8,0,1364,0,6,0,1
2,3,405,1,-7,0,741,0,3,0,1
1,4,426,3,6,0,799,0,1,1,0
1,4,428,3,3,0,974,0,1,1,0
1,4,430,1,-3,0,804,0,1,0,1
1,4,432,1,-3,0,628,0,2,0,1
1,4,434,1,-4,0,827,0,1,0,1
1,4,436,3,9,1,930,9,1,1,1
1,4,438,2,-2,1,729,-2,1,0,0
1,4,440,3,7,1,976,7,2,1,1
1,4,444,1,-6,0,813,0,2,0,1
1,4,446,2,-2,1,884,-2,2,0,0
1,4,448,1,-5,0,906,0,1,0,1
1,4,450,2,2,0,714,0,2,0,1
1,4,452,3,6,1,769,6,2,1,1
1,4,454,3,8,1,704,8,3,1,1
1,4,456,2,1,1,921,1,3,0,0
1,4,458,1,-3,0,730,0,3,0,1
1,4,460,2,2,0,842,0,3,0,1
1,4,462,3,5,1,740,5,3,1,1
1,4,464,3,4,1,803,4,4,1,1
1,4,466,1,-6,0,726,0,3,0,1
1,4,468,3,4,1,773,4,1,1,1
1,4,470,3,8,1,919,8,1,1,1
1,4,472,3,6,1,600,6,4,1,1
1,4,474,1,-5,0,1048,0,4,0,1
1,4,476,1,-2,0,1481,0,4,0,1
1,4,478,1,-2,0,762,0,5,0,1
1,4,480,1,-3,0,923,0,2,0,1
1,4,482,2,-1,0,843,0,4,0,1
1,4,484,1,-8,0,644,0,6,0,1
1,4,486,2,3,1,1269,3,4,0,0
1,4,488,2,-4,1,1653,-4,5,0,0
1,4,492,1,-2,0,1007,0,1,0,1
1,4,494,1,-3,0,887,0,1,0,1
1,4,496,3,6,1,1209,6,5,1,1
1,4,498,2,-2,1,810,-2,5,0,0
1,4,500,3,6,1,714,6,6,1,1
1,4,502,2,-2,0,1388,0,2,0,1
1,4,504,3,5,1,1053,5,2,1,1
1,4,510,1,-3,0,1212,0,5,0,1
1,4,512,1,-5,0,538,0,3,0,1
1,4,514,1,-4,0,1657,0,6,0,1
1,4,516,2,-1,0,960,0,3,0,1
1,4,518,2,1,1,641,1,6,0,0
1,4,520,2,-1,0,1302,0,1,0,1
1,4,522,3,7,1,845,7,6,1,1
1,4,524,2,-1,0,700,0,6,0,1
1,5,541,1,-7,1,2311,-7,1,0,0
1,5,543,1,-6,1,2175,-6,1,0,0
1,5,545,3,5,1,1286,5,1,1,1
1,5,547,1,-6,0,797,0,1,0,1
1,5,551,2,2,1,1075,2,1,0,0
1,5,553,3,5,1,1189,5,1,1,1
1,5,555,2,1,1,780,1,2,0,0
1,5,559,1,-5,0,1406,0,2,0,1
1,5,561,3,7,1,687,7,2,1,1
1,5,563,1,-3,0,679,0,2,0,1
1,5,565,3,3,1,871,3,1,1,1
1,5,569,3,8,1,521,8,2,1,1
1,5,571,1,-6,0,715,0,3,0,1
1,5,575,2,-1,1,876,-1,3,0,0
1,5,577,1,-5,0,740,0,3,0,1
1,5,579,1,-4,0,637,0,4,0,1
1,5,581,2,2,0,471,0,4,0,1
1,5,583,3,4,1,903,4,1,1,1
1,5,585,2,-1,1,1096,-1,5,0,0
1,5,589,1,-5,0,1080,0,2,0,1
1,5,591,1,-4,0,626,0,3,0,1
1,5,593,2,2,0,498,0,3,0,1
1,5,595,3,4,1,722,4,3,1,1
1,5,597,3,6,1,651,6,2,1,1
1,5,599,2,-2,1,1125,-2,4,0,0
1,5,601,1,-7,0,573,0,5,0,1
1,5,603,3,4,1,767,4,1,1,1
1,5,605,3,5,1,631,5,4,1,1
1,5,607,2,2,1,911,2,1,0,0
1,5,609,3,4,1,696,4,3,1,1
1,5,611,3,7,1,1017,7,5,1,1
1,5,613,1,-4,0,1417,0,6,0,1
1,5,615,1,-6,0,1065,0,4,0,1
1,5,617,1,-3,0,963,0,1,0,1
1,5,619,1,-6,0,1268,0,5,0,1
1,5,621,2,-2,1,1292,-2,1,0,0
1,5,623,3,7,1,1806,7,4,1,1
1,5,625,2,-1,1,981,-1,6,0,0
1,5,627,3,5,1,1253,5,5,1,1
1,5,629,1,-3,0,1013,0,6,0,1
1,5,631,1,-7,0,1542,0,1,0,1
1,5,633,3,5,1,1828,5,6,1,1
1,5,635,3,8,1,914,8,3,1,1
1,5,637,3,5,1,1022,5,6,1,1
1,5,639,2,1,1,407,1,5,0,0
1,5,641,2,2,1,1152,2,6,0,0
2,6,662,3,5,1,625,5,1,1,1
2,6,664,1,-1,1,922,-1,1,0,0
2,6,666,1,-9,1,723,-9,1,0,0
2,6,668,2,-6,1,947,-6,1,0,0
2,6,670,3,-5,0,836,0,1,0,1
2,6,672,1,-1,0,1236,0,2,0,1
2,6,674,3,5,1,1284,5,2,1,1
2,6,676,2,-6,0,754,0,2,0,1
2,6,678,2,-3,1,763,-3,1,0,0
2,6,680,1,-9,0,738,0,2,0,1
2,6,682,2,-3,0,826,0,2,0,1
2,6,684,3,6,1,1234,6,1,1,1
2,6,686,3,6,1,684,6,2,1,1
2,6,688,2,-6,0,794,0,3,0,1
2,6,690,1,-9,0,929,0,3,0,1
2,6,692,2,-6,0,1066,0,4,0,1
2,6,694,2,4,0,1090,0,2,1,0
2,6,696,2,-3,0,779,0,3,0,1
2,6,698,2,4,1,1100,4,3,1,1
2,6,700,1,-1,0,762,0,3,0,1
2,6,702,1,3,0,1489,0,2,1,0
2,6,704,3,6,1,719,6,3,1,1
2,6,706,3,6,1,622,6,4,1,1
2,6,708,2,-3,0,959,0,4,0,1
2,6,710,1,-1,0,654,0,4,0,1
2,6,712,1,-9,0,702,0,4,0,1
2,6,714,2,7,0,1422,0,1,1,0
2,6,716,2,-6,0,742,0,5,0,1
2,6,718,2,-6,0,679,0,6,0,1
2,6,720,3,-5,0,560,0,2,0,1
2,6,722,3,5,0,247,0,3,1,0
2,6,724,3,1,0,1647,0,1,1,0
2,6,726,1,9,1,1063,9,1,1,1
2,6,728,3,6,1,1127,6,5,1,1
2,6,730,1,-9,0,871,0,5,0,1
2,6,732,2,-3,0,823,0,5,0,1
2,6,734,3,5,1,1831,5,4,1,1
2,6,736,3,-7,1,1694,-7,1,0,0
2,6,738,2,-2,0,685,0,1,0,1
2,6,740,1,3,1,1268,3,3,1,1
2,6,742,1,-1,0,626,0,5,0,1
2,6,744,2,-3,0,738,0,6,0,1
